source_table,column_name
JK,person_id
JK,stnd_y
JK,age_group
JK,sex
JK,sgg
JK,CTRB_PT_TYPE_CD
JK,DFAB_GRD_CD
20T,key_seq
20T,person_id
20T,form_cd
20T,in_pat_cors_type
20T,recu_fr_dt
20T,vscn
20T,ykiho_id
20T,sub_sick
30T,key_seq
30T,seq_no
30T,recu_fr_dt
30T,div_cd
30T,div_type_cd
30T,mdcn_exec_freq
30T,dd_mqty_exec_freq
30T,dd_mqty_freq
30T,clause_cd
30T,item_cd
40T,key_seq
40T,seq_no
40T,sick_sym
40T,recu_fr_dt
40T,SEQ_NO
60T,key_seq
60T,seq_no
60T,recu_fr_dt
60T,div_cd
60T,div_type_cd
60T,mdcn_exec_freq
60T,dd_mqty_freq
60T,dd_exec_freq
GJ,person_id
GJ,hchk_year
GJ,ykiho_gubun_cd
GJ,height
GJ,weight
GJ,waist
GJ,bp_high
GJ,bp_lwst
GJ,blds
GJ,tot_chole
GJ,triglyceride
GJ,hdl_chole
GJ,ldl_chole
GJ,hmg
GJ,gly_cd
GJ,olig_occu_cd
GJ,olig_ph
GJ,olig_prote_cd
GJ,creatinine
GJ,sgot_ast
GJ,sgpt_alt
GJ,gamma_gtp
GJ,hchk_pmh_cd1
GJ,hchk_pmh_cd2
GJ,hchk_pmh_cd3
GJ,hchk_apop_pmh_yn
GJ,hchk_hdise_pmh_yn
GJ,hchk_hprts_pmh_yn
GJ,hchk_diabml_pmh_yn
GJ,hchk_hplpdm_pmh_yn
GJ,hchk_etcdse_pmh_yn
GJ,hchk_phss_pmh_yn
GJ,fmly_liver_dise_patien_yn
GJ,fmly_hprts_patien_yn
GJ,fmly_apop_patien_yn
GJ,fmly_hdise_patien_yn
GJ,smk_stat_type_rsps_cd
GJ,smk_term_rsps_cd
GJ,cur_smk_term_rsps_cd
GJ,past_smk_term_rsps_cd
GJ,cur_dsqty_rsps_cd
GJ,past_dsqty_rsps_cd
GJ,dsqty_rsps_cd
GJ,drnk_habit_rsps_Cd
GJ,tm1_drkqty_rsps_cd
GJ,exerci_freq_rsps_cd
GJ,mov20_wek_freq_id
GJ,mov30_wek_freq_id
GJ,wlk30_wek_freq_id
GJ,fmly_diabml_patien_yn
GJ,fmly_cancer_patien_yn
YK,ykiho_id
YK,ykiho_gubun_cd
YK,ykiho_sido
YK,org_type
YK,stnd_y
